teks	label_klaster
asli jahat gosip main perang dingin petinggi kuasa salah manager main tulis bismillah tamat hormat	3
teman minggu kirim surat undur grup banget habis maki grup langsung kirim surat jahat banget suka maki karyawan grup	3
orang jahat omong suka bikin sakit jahat talk	3
lingkung jahat lingkung jahat jahat	3
ajar hindar kejar sisi buruk jahat malas rajin sisi buruk rajin istirahat korban sehat wajar	3
selamat semangat moga kabar bahagia juang tahan jahat semangat	3
takut banget utang bayar jahat banget aspek	3
orang tahan hidup lingkung jahat posisi gila	3
tanda jahat lupus bahan jahat	3
susah jahat gila babi	3
psikolog jahat orang dampak buruk orang kategori jahat orang orang jahat	3
hadap jahat	3
malas banget jaman sekolah kuliah ketemu kelompok teman jahat ketemu teman gejala arah jahat biar sayang	3
kali rasai jahat banget	3
jahat kadang cari susah tabung harap hadap anak allah pengin teriak	3
sampah jahat situ	3
sinar jahat	3
pandang angkat kaki sakit badan orang cari salah suasana jahat angkat kaki	3
nama jahat niat untung butuh orang terima dukung balut	3
januari selesai teman enak manajer jahat banget laku payah	3
rasai jahat	3
jahat kama plan mental wiki sasa drip jahat pesa	3
jahat	3
manusia tahi level jahat	3
lepas henti alami tekan peringkat halau buang hidup penuh manusia jahat paksa	3
nekad jahat teman kantor suportif budak sistem kantor hancur hasil kesel uang kantor tolong	3
suka orang umbar jahat clear ungkit	3
coba jahat	3
bismillah allah lancar moga jahat	3
pilih tahan jahat tawar enak suka hidup	3
orang ajar situ omong jahat orang pikir positif situ omong jahat hidup hidup jalan ganggu	3
tuhan orang orang jahat	3
abih baran layan perangai jahat sorang	3
jahat petrol mimi supervisor kama mimi uniform	3
tuju jatuh jahat jaman orang bangga sibuk tidur kayak langgeng jahat	3
anak anak kuliah magang jahat banget anjir ambis	3
bebas jahat	3
rugi tahan jahat orang kering	3
teman jahat	3
sangka jumpa orang jahat alhamdulillah tenang sikit	3
jahat nyata badan	3
sadar teman jahat	3
betah jahat	3
kena hadap jahat	3
semangat dikit enak teman jahat tinggal	3
lingkung jahat lihat hasil apresiasi	3
jahat jahat tahan rejeki kasih aset nyaman partner enak kayak keluarga aset nyaman ambil lemah	3
ubah sikap persepsi rekan jahat kejap butuh adaptasi sesuai paham ketimbang pusing fokus	3
kali langsung lingkung jahat minggu nyaman bilang langsung bawa surat	3
jahat banget manajemen lingkung urang banget kayak berat renti sumpah capek banget mental mending	3
orang jahat mending mundur tahan lingkung sehat	3
jahat level	3
jahat pamit kasih	3
ketemu orang ambis jahat sekolah kampus coba	3
suasana kantor enak jahat rekan tahan butuh duit pahit	3
capek orang jahat keliling orang jahat	3
pengin jahat paksa tahan capek	3
hasil jahat lega banget adaptasi lingkung bikin hela nafas	3
kali kali jahat jahat sepele tahi bikin	3
cowok lulus bagus rada jahat umur masuk	3
jahat grup grup muka suka teman	3
senang sesuai rasai jahat ketemu orang super enak banget kenal jahat ujung pilih rasai nyaman	3
jahat parah	3
sumpah jahat banget teman menang cerita	3
hilang sifat orang kenal selesai kayak habis kontrak kontak teman nyaman langsung jahat	3
lagu cocok manusia jahat sebal kesel	3
jahat jahat pilih kasih	3
nilai buah lingkung label jahat mesti introspeksi kali kali lihat salah orang orang emosi	3
bahaya banget saran grad kecuali jahat nama grad erti jahat kagak implisit omong jahat mudah identifikasi jarang	3
rumah jahat jahat	3
jahat bikin salah perhati kelar diam	3
baca pasal jahat bingo	3
semenjak jahat batas terima respon orang respon semangat bikin berat	3
orang jahat banget risih anjir kayak	3
petang malas jahat semangat pergi	3
tolong badan capek tidur jahat sungguh kesan jalan usia	3
pengin asih semangat jahat cari	3
mintak jahat	3
hindar orang jahat orang jahat	3
lingkung jahat	3
pikir pikir orang orang jahat	3
henti lingkung sehat jahat moga tuhan yesus kasih cepat amin	3
habis talk sakit banget lihat mama tahan menang jahat parah banjir banget cerita mama derita situ	3
jahat manager senior lembur kontribusi efek bikin pengin lihat	3
banget bukti betapa jahat korban jahat mati katai	3
cerita orang suka gunung komen gemar telat alias ketua kali sumpah jahat bikin bego wajar suka	3
tolong hormat orang orang bang faham orang orang korek pasal orang jahat	3
orang drama rasai lingkung jahat kayak betah	3
cerita pasal jahat cerita awak situ jahat tahan	3
jahat	3
bawa nama ganggu performa arti cocok musti cari lingkung sesuai lepas salah manusia bawa kolega jahat inti cocok jalan	3
penuh pasal jahat faham	3
laku suasana jahat orang kadang tuju	3
betapa jahat orang kelakar	3
jahat orang orang	3
kasih orang rumus serah percaya orang sentimen pribadi orang tanda jahat	3
cakap sorang kutuk jahat bodoh orang staff jahat benci	3
seng lapang temu orang istilah lingkung jahat laku	3
izin betah jahat	3
kantor jahat suka deg-degan	3
paksa jahat bikin maju putus sedih	3
definisi jahat konteks sepakbola arsenal main beli tiket tonton arsenal arsenal jahat	3
pikir jahat tunjang karir bingung cari susah pengin kabur banget asli tahan cari tinggal	3
duduk sorang adik duduk sepang start start sorang jahat	3
rang orang jahat kayak	3
pribadi orang jahat jahat hubung pacar jujur teman jahat jahat	3
lelaki sayang perempuan diam orang jahat percaya hati hitam jumpa syukur alhamdulillah	3
orang jahat fault sayang plus	3
orang lingkung jahat kayak langkah percaya enak alam pribadi	3
kayak jahat orang paham konsep wajib keluarga orang konservatif takut anak pulang malam anak didik kayak	3
jahat usaha cari layan emosi tahan situ talk awak bagus sentiasa	3
osis sekolah jahat banget pagi marah maki maki bina osis angkat sakit maag kambuh vertigo kambuh	3
jahat manusia	3
definisi jahat mati suruh masuk	3
oktober moga keluarga sehat ikhlas rela pergi lapang dada hadap moga orang jahat amin	3
jenis kuat kipas orang jahat	3
human sorang hidup email jahat	3
hadap jahat jahat orang manusia sempurna jahat orang kawal minda negatif	3
bahaya hubung jahat sadar rendah arti minder gampang asli harga hubung jahat	3
tengok sumbang jahat baca habis pikir kejut	3
kaget banget mantan senior salah gara orang jahat banget marah suka grup situ intern grafis	3
manajemen kantor super jahat orang kayak nilai valid	3
mulut perangai jahat orang henti jawat galas tuju	3
kena jahat institusi sahaja bidang kongsi	3
semangat abdi pamrih istilah jahat suka pakai kalimat tugas beban sumbangsih nkri penasaran khas kantor	3
jahat start orang	3
usaha nama rohmat orang jahat banget	3
bilang suara bagus jahat banget	3
senior lumayan jahat orang salah omong banget kayak dunia salah ciut kayak anak kucing takut salah orang	3
kongsi alam jahat hadap	3
rumah kawan jahat salah rezeki	3
baca ngeri nyata lingkung kantor cari alam uang teman bonus cerita jahat lingkung	3
cewek jahat halo alam jalan saran	3
jahat bagus tanda sadar laku manipulasi kamus anak jaksel	3
jahat lingkung salah momen bambang suka macet rumah suka basa basi omong kali orang langsung biar kicep	3
jahat kantor	3
pegawai bank lihat target penuh tekan galak senioritas rekan jahat lembur pengin	3
kantor lingkung jahat nama jujur suka takut kondisi kayak cari susah	3
jahat banget astaga	3
nyata orang lingkung jahat bayang parah cerita mbak nyata	3
makhluk jahat muka	3
jahat jahat	3
salah pilih cari duit nyaman cari ajar alam muda saran cari jahat	3
manager pakai jahat	3
salah tanda jahat status cuti	3
solusi hadap lingkung jahat solusi cari bagus cari lingkung cocok gampang bekal	3
jahat bahaya jiwa bahaya pikir cepat hakim orang jahat ajar sadar hakim orang sadar kadang hakim cermin gulat batin	3
cari jahat	3
jahat angkat kaki pergi angkat kaki pergi	3
jahat banget parah	3
lingkung jahat	3
kesel banget mbak bikin jahat sadar laku bikin nyaman	3
pilih lingkung kayak kantor lingkung suportif super jahat laku kondisi	3
ketemu orang orang jahat	3
lihat jahat	3
bismillah jahat	3
jahat banget anjing	3
seram banget nyata teman kantor jahat kantor langsung komen	3
jahat	3
jahat banget anjir	3
tolong jahat	3
jahat	3
banget hidup lingkung jahat	3
orang jahat	3
jahat cakap benda rumah	3
jahat	3
start selesa jahat	3
posisi anak proses suami bangun rumah jahat banget cari susah anak	3
jahat	3
minggat jahat	3
tendang biru tendang jahat tahan	3
senang kena jahat sedih duit hasil	3
jahat tahan	3
jahat banget kayak asem manis	3
lampau jahat penat	3
jahat cepat penat penat perangai manusia	3
bilang jahat jahat sender pengin introspeksi masuk enak bikin ribet asli	3
jahat jerat jahat kasih masuk tahan hubung hubung nyata	3
jahat	3
lingkung jahat alur bikin pengin tahan kesan sindir mari teman	3
kayak jahat bikin trauma banget takut bawa takut ulang	3
teman cerita cerita jahat jahat	3
jahat tahan bentar moga rejeki	3
jahat cari	3
sikap jahat lingkung pengaruh keluarga keluarga lingkung mental jahat jaga arus racun	3
moga sponsor lancar lingkung jahat amin	3
jahat moga lingkung jahat mata banget sisa cari lingkung	3
capek banget orang orang jahat	3
jahat	3
amit usaha nyata jahat lihat dampak performa efek sakit igau tidur pikir negatif kompromi sehat nomor	3
jahat	3
jahat	3
jahat banget	3
salah salah manusia jahat laku	3
lingkung orang jahat lingkung rumah keluarga beliau turun dunia imbang hidup	3
mulut jahat senior buli junior jahat lari arab	3
ketemu orang orang lupa jahat	3
bayang dedikasi antri bpjs jahat level	3
pengin dilema orang orang capek jahat	3
jahat	3
jahat	3
jahat	3
biar anak magang banget salah dikit bilang baperan cerita kantor jahat banget kontrak	3
sumpah jahat banget pulang curhat info	3
keluarga jahat pasang jahat jahat jahat orang	3
hidup lingkung jahat	3
lingkung jahat pelangi pengin banget sembuh lamar tolak pikir pasang kayak orang jahat jahat	3
jahat	3
jahat sabar jela fikir	3
keluh kesah utama jahat sadar lingkung jahat	3
nyaman jahat pengin menang	3
penat kena hadap jahat	3
suka heran jahat tinggal bilang sulit	3
kuat bawa sebel jahat malas	3
bikin jahat person real ampun	3
keras binatang keras peras keras suruh jahat	3
jahat alhamdulillah	3
mesti jahat situ pikir kali	3
contoh hubung jahat cewek agens fandom profit bikin rugi utang agens induk kalah agens	3
curhat trauma gara-gara rekan jahat trauma efek besok percaya banget	3
lucu banget dukung cari bagus jahat banget semangat rekomendasi	3
telusur bayar lingkung jahat bagus paksa tahan keburu depresi anak orang	3
kawan intern jumpa menang cerita jahat intern orang pakai selidik habis melulu putus sesal	3
salah budaya jahat orang indonesia urus hidup pribadi orang netizen perang komentar bela selebgram kait hidup biar keluarga	3
jahat masuk akal rela begadang libur saing rekan kasihan efektif sesuai lihat malas	3
september kemarin jahat kantor kantor senang banget banget banget menang	3
jahat kepala jahat alam	3
contoh jahat patut wujud tengok jepun ajar berdikari bina jati	3
lingkung jahat tinggal tahan alas enak sehat hidup bego	3
nama jahat orang capek sedih kesal kali tuju berat banget gila kuat banget tepar	3
salah juang tahan hidup singkat cerita masuk jahat bilang tolong	3
sindir sindir jahat jahat kaca banget enak suruh biar proses banget jahat jahat jahat	3
capek banget anjing pasang topeng jahat	3
tahan tahan jahat	3
sedih jahat sedih sangka manusia rupa perangai jangka dahsyat sakit orang balas akhirat	3
berat banget berangkat kayak malas malas orang lingkung jahat banget	3
pergi jahat sumpah sedih orang sanggup mudah suami bakar semangat bahagia lepas bodoh	3
habis rekan jahat	3
suami start jahat jahat	3
cewek sender habis kontrak lega lingkung jahat sender biar sisi pikir sender pusing sender tulang punggung keluarga	3
jahat cuti cuti adek kena orang	3
jahat henti payah	3
wujud jahat langsung jahat takut kandang buaya masuk kandang harimau	3
baca gambar lepas habis intern masuk start nyepi tahan jahat	3
seru jahat gaji lumayan orang jahat lawan tantang langsung kicep	3
ajar banget hidup betapa orang kadang sadar jahat jarak umur paut temu lingkung kayak keluarga	3
terima kasih sedia wawas orang alami jahat paham alam golong paksa perhati milik	3
tips hadap orang jahat jahat perangai karut cakap faktor usia	3
kuliah farmasi jahat	3
sender pengin banget sembuh sender tolak pikir pasang inti jahat pasang pasang	3
semenjak ketemu orang tulus hidup sosial lingkup personal profesional asia jahat banget komen respon bentuk bumbu	3
rasai nama zona nyaman jahat jahat teman jahat kayak rasai	3
jahat gaul jahat pandai gaul suka cerita buruk orang lepas pilih kasih long	3
omong jahat teman jahat lingkung jahat mending kaca omong jahat orang semangat pagi	3
lingkung pengaruh harap cari alam gaji lingkung jahat omong lingkung cibir	3
gampang anak kakak anggur adik lulus orang pensiun jahat	3
buram maksud lingkung jahat kayak kayak marah normal	3
umur jahat	3
jahat plus kapai	3
pengin coba takut salah ambil putus kuat jahat banget usaha keluarga milik keluarga milik rasai susah keluarga notabene jilat	3
dunia orang kali kali beda bela lingkung jahat rekan jahat kayak	3
jahat diam orang bikin bikin cermin biar kalah sakit egois kayak cermin	3
jahat mudah percaya anggap orang	3
orang bahagia orang suka geng orang puak orang layan orang tegur tegur orang diam diam gaji bahagia jahat orang drama	3
video orang bilang lingkung jahat balas video beliau jahat kasihan mbak pepatah pandu	3
nyata lingkung jahat alas beliau cocok usaha fokus studi kontrak wajar hitung	3
jahat pilih diam tahan jahat kejam takut jahat gali rahasia hidup senjata	3
tanda budaya jahat kelompok start kelompok mesti gosip jalan pokok goyang angin	3
jahat	3
selesai cerdas komunikasi wajar emosi sayang dewa orang pintar jahat	3
semangat coba cuek balas prestasi ambil hati lingkung jahat karir	3
pengin cari aman nyaman harga nyata jahat	3
jahat diam malas gaduh over over	3
episode jahat	3
takut jahat orang inkompeten usaha bedak julid tinggal cabut sampah inkompeten tukang julid	3
sadar kantor jahat suka bilang keluarga	3
sikap toleh bagus lepas jahat tinggal jahat bagus amal sikap lepas toilet orang bayar hasil	3
perangai orang jahat selesa	3
jahat jenis cepat risau over fikir orang talk	3
jahat izin jahat masuk hidup	3
salah ciri pasang jahat laku keras fisik verbal surup hajar ampun maaf menang kayak budak tuan pasang luluh maaf siklus ulang	3
dunia dokter jahat normalisasi suka dengar cerita dokter residen suruh butuh salah guru	3
drop alas jahat jahat drop etis versi terima kasih	3
nyata jahat tahan dapur segala-galanya kondisi untung minimal uang	3
jahat jahat	3
bilik lipas kena marah jahat	3
jahat	3
jahat	3
cewek sedih jahat minggu bilang beban rekan sindir salah rekan senior ajar	3
cerita kali masuk manager sayang kompetensi jahat	3
cakap orang jahat masuk cakap orang dengki masuk cakap problem cakap problem problem	3
were jahat tekan takut hilang bebas harga pribadi positif	3
nama jahat busuk buang paksa genggam harap busuk manfaat kedok hikmah racun racun buang rugi	3
jahat vendor vendor banget	3
jahat orang personal	3
jahat	3
jahat	3
jahat	3
jahat lingkung jahat	3
bahaya banget jahat anggap pasang laki anak laki jahat kasar pasang laki bela anak salah pasang	3
jahat capek banget	3
jahat banget anjing	3
kantor lihat jahat	3
sehat paham batas komunikasi niat jahat protes kekang serang refleksi hormat butuh	3
nasihat jenis jahat orang puji kosong asyik kritik orang salah mata salah orang	3
bahaya hubung jahat sadar rendah arti percaya asli harga hubung jahat	3
orang jahat kayak lihat tenang salah cari celah langkah laku salah mata gerak alas	3
tanda tanda jahat tukar tukar cakap susah mintak cuti kena perli teruk buli orang kredit orang jahat	3
stop jahat positif sehat layak harga	3
jahat mahasiswa pola pikir kayak bocah mahasiswa malas kontribusi kelompok suka cari musuh balas sengak	3
usaha jahat keluarga	3
alas teman jahat bilang ketemu teman cocok arti langsung	3
jahat stop bawang start negatif stop dengar orang bawang takut bawang stop cari salah orang bantu stop orang	3
normalisasi lembur bayar karyawan suka drama nyinyir jahat mampus kantor	3
salah bahaya hubung jahat sadar rendah rendah arti minder mudah harga hubung jahat	3
tongkrong jahat tinggal entar jahat contoh orang teman ketemu omong bisnis omong mantan sambung	3
lingkung jahat gaji lingkung jahat teman	3
kena tengok cakap duduk orang over orang kadang jahat asah adab ajar	3
sifat pasang potensi jahat malas usaha konsisten kontrol emosi orang luka uang bijak	3
jahat suka jaga tepi kain staff layan suruh orang personal	3
senang kali skala usaha arti ketemu orang jahat jilat tukang cuman beda muka lingkung positif relatif pilih gaji	3
orang dikit jahat kapai were dengar tantang bangga hasil selesai bikin tipes	3
pikir jahat bikin fokus turun produktivitas sepele salah	3
jahat cari validasi teman keluarga bawa arus sesuai desk pulang pulang kepo urus orang terap prinsip pulang ambil	3
teman jahat jatuh kuliah	3
pilih rasai lingkung jahat capek	3
lingkung jahat habis tiktok	3
fokus lingkung jahat drama alam pahit ajar lingkung dukung tantang tahan mental	3
makan siang cerita jahat alamin cerita seru kasih	3
bilang kantor jahat	3
pengin ijazah jahat tahan lulus kuliah pura capek maaf curhat dikit orang cuman senyum	3
keluarga beranta cinta gagal jahat indah capek butuh istirahat butuh rumah butuh singgah	3
kantor jahat	3
istirahat jahat parah istirahat	3
allah rencana nyata putus orang allah balas kasih orang sayang banget ketemu orang jahat alhamdulillah banget	3
pilih lingkung jahat gaji keluarga lingkung jahat gaji sepi teman	3
teman jahat jatuh kuliah	3
niat motor beli motor mudah anak sekolah niat harap allah jahat person jahat jujur allah penat	3
lingkung jahat orang cewek sakit jiwa	3
orang jahat egois suka cemburu sikap kasar nilai buruk suka manipulasi manfaat orang suka salah salah orang	3
masuk lingkung jahat banding	3
heran banget lingkung panas jahat kadang atur senior tahi anjing kesel banget orang kayak cari duit lagak gaji songong	3
salah jahat rapat sesuai arah	3
habis lebaran manusia nyaman jahat positif zona admin gudang coba	3
mami licia pulang jahat ikhlas hati ikhlas bulat	3
jahat harap anak kena teruk	3
jahat betah teman banget bikin betah baca nabi yunus	3
kayak jahat	3
pengin keluh orang jahat habis	3
coba lingkung jahat allah amin	3
rindu duduk allah situ jahat	3
jahat	3
lingkung jahat omong orang cari salah orang goreng informasi asumsi jelek orang goreng informasi sesuai fakta	3
allah capek banget jahat manipulatif	3
tetangga jahat singgung orang gosip kena fitnah jelek hati lihat orang sukses kayak fitnah miskin hina	3
jahat jahat jujur hidup dasar ragu tinggal bawa pengaruh	3
sorok bodoh bagus putus amal jahat	3
orang jahat egois suka cemburu sikap kasar nilai buruk suka manipulasi manfaat orang suka salah salah orang	3
anak jaman ajar beda jahat lihat wajar asumsi justifikasi performa bikin salah kantor	3
kesi jahat lantak orang sorang sorang person	3
gilir sakit paksa apresiasi bilang maaf himpun jahat mending bubar	3
jahat japri marah grup kantor orang wenang diam	3
jahat menat plus mulut cika suka orang suka ampu habis nama buruk orang	3
pilih kantor lingkung jahat biar adil jahat rugi kesel cari muka maksud orang	3
pegawai bagus alias jahat terima besok ajar kayak timbang	3
jahat potensi langgar ketenagakerjaan orang jaman demo mati biar buruh zaman	3
banget aura atmosfer jahat kangen bareng kadang bilang capek bingung bilang	3
moga jebak jahat	3
sadar penuh pribadi zona jahat orang mending mending sehat lepas tahap alhamdulillah allah	3
bikin tekan capek fisik capek mental capek banget jahat ganti karir nyonya nyonya nyonya	3
sakit jahat sakit tahan menang rumah muak banget menang mati kali	3
jahat hilang masuk manajer kasih saran biar obrol pegawai sapa saran bilang peduli kemarin teman teman	3
lelaki jahat sepah liar lelaki rumah tangga jahat bincang laki bini bawa masuk	3
cari jahat gaji jahat tahan	3
senin ketemu jahat drama lingkung gaji sesuai masuk akal amin	3
nyata lingkung jahat banget	3
kalah jahat pelit pelit jahat korupsi senior bocah	3
cari sistem lingkung lumayan jahat gaji telat	3
teman kayak cepat takut jahat ling nyaman	3
sedih menang pisah jahat parah nyaman bismillah panggil slot kosong	3
allah tolong orang orang jahat	3
saran mending jahat kuat	3
susah jahat pengin renti butuh duit	3
allah moga lingkung nyaman jahat amin tolong mudah allah	3
kucil keluarga jahat tipu rekan putus juang fokus resin	3
bantu jahat banget banget salah salah sepenuh dinamika partner bikin enek perut banget gara sayang uang	3
gara-gara jahat cari muka teman kayak kayak	3
hati badminton kasihan jahat laku suka enak nyaman bikin suka biar jebak main	3
sadar lingkung jahat jalan	3
kawan orang limit orang jahat kawan langsung kawan	3
cewek jahat katai rekan balas loker wajar abai orang kayak	3
